Team_A,Team_B,Probability,Elo_A,Elo_B,Elo_Diff,Warm_A,Warm_B,Koppen_A,Koppen_B,Climate_Zone_A,Climate_Zone_B,Is_Climate_Clash,Warm_Team,Cool_Team,Climate_Score_A,Climate_Score_B,Venue_Temp_C,Climate_Diff_Score,p_adjustment,Climate_Flag_Tier
Brazil,Netherlands,0.1592,2081.0,2006.0,75.0,1,0,Am,Cfb,Tropical,Temperate,1,Brazil,Netherlands,1.0,0.5,28.8,0.5143,0.0165,Tier 1 (Strong)
Ecuador,France,0.1374,2033.0,2160.0,-127.0,1,0,Af,Cfb,Tropical,Temperate,1,Ecuador,France,1.0,0.5,23.0,0.4107,0.0131,Tier 1 (Strong)
Ecuador,Norway,0.1234,2033.0,1994.0,39.0,1,0,Af,Dfc,Tropical,Continental,1,Ecuador,Norway,1.0,0.2,22.5,0.6429,0.0206,Tier 1 (Strong)
Brazil,Sweden,0.098,2081.0,1793.0,288.0,1,0,Am,Dfc,Tropical,Continental,1,Brazil,Sweden,1.0,0.2,28.8,0.8229,0.0263,Tier 1 (Strong)
Ecuador,France,0.094,2033.0,2160.0,-127.0,1,0,Af,Cfb,Tropical,Temperate,1,Ecuador,France,1.0,0.5,22.5,0.4018,0.0129,Tier 1 (Strong)
Senegal,Germany,0.0886,1933.0,2032.0,-99.0,1,0,BSh,Cfb,Arid,Temperate,1,Senegal,Germany,0.9,0.5,22.5,0.3214,0.0103,Tier 1 (Strong)
Ivory Coast,Norway,0.0828,1836.0,1994.0,-158.0,1,0,Aw,Dfc,Tropical,Continental,1,Ivory Coast,Norway,1.0,0.2,22.5,0.6429,0.0206,Tier 1 (Strong)
Brazil,Germany,0.0782,2081.0,2032.0,49.0,1,0,Am,Cfb,Tropical,Temperate,1,Brazil,Germany,1.0,0.5,22.5,0.4018,0.0129,Tier 1 (Strong)
Brazil,France,0.0749,2081.0,2160.0,-79.0,1,0,Am,Cfb,Tropical,Temperate,1,Brazil,France,1.0,0.5,22.5,0.4018,0.0129,Tier 1 (Strong)
Brazil,Norway,0.0738,2081.0,1994.0,87.0,1,0,Am,Dfc,Tropical,Continental,1,Brazil,Norway,1.0,0.2,22.5,0.6429,0.0206,Tier 1 (Strong)
Ivory Coast,England,0.0635,1836.0,2083.0,-247.0,1,0,Aw,Cfb,Tropical,Temperate,1,Ivory Coast,England,1.0,0.5,25.4,0.4536,0.0145,Tier 2 (Moderate)
Ivory Coast,France,0.0626,1836.0,2160.0,-324.0,1,0,Aw,Cfb,Tropical,Temperate,1,Ivory Coast,France,1.0,0.5,22.5,0.4018,0.0129,Tier 2 (Moderate)
Brazil,England,0.0563,2081.0,2083.0,-2.0,1,0,Am,Cfb,Tropical,Temperate,1,Brazil,England,1.0,0.5,28.0,0.5,0.016,Tier 2 (Moderate)
Ecuador,Norway,0.0555,2033.0,1994.0,39.0,1,0,Af,Dfc,Tropical,Continental,1,Ecuador,Norway,1.0,0.2,23.0,0.6571,0.021,Tier 2 (Moderate)
Tunisia,Scotland,0.0515,1777.0,1857.0,-80.0,1,0,BWh,Cfb,Arid,Temperate,1,Tunisia,Scotland,0.9,0.5,28.8,0.4114,0.0132,Tier 2 (Moderate)
Senegal,England,0.051,1933.0,2083.0,-150.0,1,0,BSh,Cfb,Arid,Temperate,1,Senegal,England,0.9,0.5,25.4,0.3629,0.0116,Tier 2 (Moderate)
Australia,New Zealand,0.051,1891.0,1710.0,181.0,1,0,BWh,Cfb,Arid,Temperate,1,Australia,New Zealand,0.9,0.5,24.2,0.3457,0.0111,Tier 2 (Moderate)
Australia,Belgium,0.0502,1891.0,2002.0,-111.0,1,0,BWh,Cfb,Arid,Temperate,1,Australia,Belgium,0.9,0.5,24.2,0.3457,0.0111,Tier 2 (Moderate)
Mexico,Netherlands,0.0426,1957.0,2006.0,-49.0,1,0,BSh,Cfb,Arid,Temperate,1,Mexico,Netherlands,0.9,0.5,28.3,0.4043,0.0129,Tier 2 (Moderate)
Morocco,Canada,0.0402,1988.0,1903.0,85.0,1,0,Csa,Dfc,Temperate,Continental,1,Morocco,Canada,0.5,0.2,28.3,0.3032,0.0097,Tier 2 (Moderate)
Australia,France,0.0388,1891.0,2160.0,-269.0,1,0,BWh,Cfb,Arid,Temperate,1,Australia,France,0.9,0.5,28.5,0.4071,0.013,Tier 2 (Moderate)
Tunisia,France,0.0387,1777.0,2160.0,-383.0,1,0,BWh,Cfb,Arid,Temperate,1,Tunisia,France,0.9,0.5,28.5,0.4071,0.013,Tier 2 (Moderate)
Iraq,Germany,0.0386,1727.0,2032.0,-305.0,1,0,BWh,Cfb,Arid,Temperate,1,Iraq,Germany,0.9,0.5,22.5,0.3214,0.0103,Tier 2 (Moderate)
