Group,Date,Home_Team,Away_Team,Host_City,Home_Koppen,Home_Climate_Zone,Home_Warm_Climate,Home_Elo,Away_Koppen,Away_Climate_Zone,Away_Warm_Climate,Away_Elo,Home_Is_Host,Away_Is_Host,Home_Win_Prob,Away_Win_Prob,Draw_Prob,City_Temp,Tournament_Avg_Temp_C,Warm_Cup,Year,Stage,Host_Country
A,2026-06-11,Mexico,South Africa,Estadio Azteca,BSh,Arid,1,1956.6,BSh,Arid,1,1673.0,True,False,0.901,0.099,0.0,17.6,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
A,2026-06-11,South Korea,Czech Republic,Estadio Akron,Dwa,Continental,0,1895.5,Dfb,Continental,0,1836.8,False,False,0.5837,0.4163,0.0,22.5,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
B,2026-06-12,Canada,Bosnia and Herzegovina,BMO Field,Dfc,Continental,0,1903.2,Cfb,Temperate,0,1653.4,True,False,0.8822,0.1178,0.0,19.4,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
D,2026-06-12,United States,Paraguay,SoFi Stadium,Cfa,Temperate,1,1831.8,Cfa,Temperate,1,1936.6,True,False,0.4931,0.5069,0.0,19.8,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
B,2026-06-13,Qatar,Switzerland,Levi's Stadium,BWh,Arid,1,1552.2,Cfb,Temperate,0,1989.9,False,False,0.0745,0.9255,0.0,20.1,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
C,2026-06-13,Brazil,Morocco,MetLife Stadium,Am,Tropical,1,2081.3,Csa,Temperate,1,1987.6,False,False,0.6317,0.3683,0.0,22.5,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
C,2026-06-13,Haiti,Scotland,Gillette Stadium,Aw,Tropical,1,1660.9,Cfb,Temperate,0,1857.3,False,False,0.2441,0.7559,0.0,20.3,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
D,2026-06-13,Australia,Turkey,BC Place,BWh,Arid,1,1890.6,Csa,Temperate,1,1998.1,False,False,0.35,0.65,0.0,15.2,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
E,2026-06-14,Germany,Curaçao,NRG Stadium,Cfb,Temperate,0,2031.5,BSh,Arid,1,1594.7,False,False,0.9251,0.0749,0.0,28.3,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
E,2026-06-14,Ivory Coast,Ecuador,Lincoln Financial Field,Aw,Tropical,1,1835.7,Af,Tropical,1,2033.4,False,False,0.2427,0.7573,0.0,23.0,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
F,2026-06-14,Netherlands,Japan,AT&T Stadium,Cfb,Temperate,0,2005.7,Cfa,Temperate,1,2007.9,False,False,0.4968,0.5032,0.0,28.5,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
F,2026-06-14,Sweden,Tunisia,Estadio BBVA,Dfc,Continental,0,1793.4,BWh,Arid,1,1777.1,False,False,0.5234,0.4766,0.0,28.8,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
G,2026-06-15,Belgium,Egypt,Lumen Field,Cfb,Temperate,0,2002.4,BWh,Arid,1,1817.7,False,False,0.7433,0.2567,0.0,17.1,22.5,1,2026,Group Stage,"USA, Canada, Mexico"
