Team_A,Team_B,Probability
Argentina,Uruguay,0.43513
Argentina,Spain,0.32859
Ecuador,France,0.30014
Brazil,Netherlands,0.29452
France,Germany,0.28968
Brazil,Japan,0.26454
Austria,Spain,0.24574
Germany,Norway,0.23241
Algeria,Spain,0.2285
Portugal,Spain,0.2266
Netherlands,Scotland,0.22213
Belgium,Turkey,0.22066
Ecuador,Norway,0.21731
Morocco,Netherlands,0.21659
Jordan,Spain,0.20609
England,Portugal,0.20156
Colombia,England,0.1997
Colombia,Switzerland,0.19869
Brazil,Tunisia,0.19193
Croatia,Portugal,0.18766
Colombia,Spain,0.1869
Belgium,Spain,0.1832
Panama,Portugal,0.17177
England,Mexico,0.16779
France,Netherlands,0.164
Colombia,Croatia,0.16118
Brazil,Germany,0.15928
Japan,Scotland,0.15872
Argentina,Colombia,0.15643
Argentina,Turkey,0.15032
Japan,Morocco,0.14855
Colombia,Panama,0.14364
Canada,Czech Republic,0.13891
Brazil,Ecuador,0.13816
Canada,South Korea,0.13253
England,Germany,0.13222
Brazil,France,0.13195
Argentina,Paraguay,0.1281
Austria,Uruguay,0.12796
Canada,Mexico,0.1278
Argentina,United States,0.12511
France,Japan,0.12479
Portugal,Switzerland,0.12322
France,Spain,0.11952
Belgium,Paraguay,0.11828
Belgium,United States,0.11812
Iran,Turkey,0.11628
Argentina,Saudi Arabia,0.11539
Brazil,Sweden,0.11489
Algeria,Uruguay,0.11471
Ecuador,England,0.11167
Belgium,France,0.11006
Jordan,Uruguay,0.10969
Germany,Senegal,0.10811
France,Morocco,0.10793
Argentina,Australia,0.10729
England,Ivory Coast,0.10711
France,Ivory Coast,0.10593
Argentina,Portugal,0.10503
Scotland,Tunisia,0.10412
Ivory Coast,Norway,0.10243
Spain,Turkey,0.10186
Mexico,Netherlands,0.1004
Morocco,Tunisia,0.09688
Australia,Belgium,0.09666
Brazil,Norway,0.09558
Ecuador,Senegal,0.09507
England,Uzbekistan,0.09398
Argentina,Belgium,0.09378
Iran,United States,0.09366
Canada,Colombia,0.09316
France,Scotland,0.09145
England,Spain,0.09066
Egypt,Turkey,0.09006
New Zealand,Turkey,0.08864
Iran,Paraguay,0.08742
France,Turkey,0.08691
Brazil,England,0.08656
England,France,0.08594
England,Senegal,0.08579
England,Norway,0.08499
Czech Republic,Switzerland,0.08359
Czech Republic,Netherlands,0.08307
Netherlands,South Korea,0.08293
Colombia,Turkey,0.08285
Mexico,Switzerland,0.08106
Portugal,Uruguay,0.08066
South Korea,Switzerland,0.08036
Colombia,France,0.08035
Argentina,Cape Verde,0.0801
Germany,Mexico,0.07991
Egypt,United States,0.07865
Ecuador,Mexico,0.07774
Ecuador,Morocco,0.07727
Canada,Netherlands,0.07698
Japan,Mexico,0.07655
Colombia,Paraguay,0.07601
Australia,Iran,0.07555
Croatia,Uzbekistan,0.07531
Croatia,Spain,0.07506
Czech Republic,England,0.07484
Germany,Morocco,0.07468
New Zealand,United States,0.07439
Ecuador,Netherlands,0.07436
Colombia,Ivory Coast,0.07328
Netherlands,Switzerland,0.07301
Netherlands,Norway,0.07283
Egypt,Paraguay,0.07277
Belgium,Ivory Coast,0.07254
Ecuador,Japan,0.07252
Colombia,Germany,0.07213
France,Tunisia,0.07187
Belgium,Uruguay,0.07167
Argentina,Iran,0.07154
Colombia,Uruguay,0.07097
Ecuador,Scotland,0.07044
Germany,Japan,0.07035
Panama,Uzbekistan,0.06987
Belgium,Norway,0.06958
Germany,Netherlands,0.06953
Ivory Coast,Switzerland,0.06948
Germany,Scotland,0.06941
Colombia,United States,0.06924
France,Paraguay,0.06874
Ecuador,Turkey,0.06839
New Zealand,Paraguay,0.06806
France,Mexico,0.06805
Germany,Turkey,0.06805
France,United States,0.06769
Mexico,Morocco,0.0676
Ivory Coast,Mexico,0.06671
Australia,Colombia,0.06613
Australia,France,0.06567
Ivory Coast,Turkey,0.06565
Colombia,Ecuador,0.06563
England,South Korea,0.06555
DR Congo,England,0.06537
Japan,Switzerland,0.0645
Brazil,Ivory Coast,0.06419
Belgium,Senegal,0.06401
Canada,South Africa,0.06365
Belgium,Colombia,0.06261
Japan,Norway,0.06201
Australia,Egypt,0.06168
Colombia,Senegal,0.06153
Brazil,Mexico,0.06136
Germany,Switzerland,0.06123
Czech Republic,Ecuador,0.06101
Canada,Portugal,0.0609
Belgium,Germany,0.06071
Spain,Uzbekistan,0.06053
Australia,New Zealand,0.06038
Belgium,Ecuador,0.06021
Norway,Turkey,0.06015
Ecuador,South Korea,0.05917
Ecuador,Switzerland,0.05887
Czech Republic,Germany,0.05851
Scotland,Sweden,0.05807
Colombia,Norway,0.05793
Argentina,Switzerland,0.05784
Morocco,Norway,0.05769
Ghana,Portugal,0.05764
Mexico,Scotland,0.05741
Portugal,Turkey,0.05695
Japan,South Korea,0.05601
Czech Republic,Japan,0.05597
Haiti,Netherlands,0.05553
Austria,Colombia,0.05499
Ivory Coast,Senegal,0.05475
Senegal,Switzerland,0.05469
France,Iran,0.05447
Argentina,Egypt,0.05439
Canada,Japan,0.0542
Austria,Belgium,0.05411
Senegal,Turkey,0.05405
France,Portugal,0.05379
France,Sweden,0.05364
England,Uruguay,0.05324
France,Switzerland,0.05278
Morocco,Sweden,0.05273
Ecuador,Paraguay,0.05263
Iran,Spain,0.05257
Mexico,Senegal,0.05211
Ecuador,United States,0.0521
Croatia,DR Congo,0.05184
Norway,Scotland,0.05165
Belgium,Czech Republic,0.0515
Mexico,Tunisia,0.05137
Germany,South Korea,0.05135
Panama,Spain,0.05134
Mexico,Norway,0.05119
Belgium,South Korea,0.05095
Colombia,Ghana,0.05012
Switzerland,Tunisia,0.04987
DR Congo,Panama,0.04965
Paraguay,Portugal,0.04934
Belgium,Portugal,0.04928
Australia,Ecuador,0.04916
Paraguay,Spain,0.04904
Norway,Spain,0.04853
Ivory Coast,Portugal,0.04841
Ecuador,Tunisia,0.0484
Germany,Paraguay,0.04793
Argentina,England,0.04734
Germany,United States,0.04719
Algeria,Belgium,0.04701
Germany,Portugal,0.04697
France,South Korea,0.04686
Norway,Switzerland,0.04649
Bosnia and Herzegovina,Czech Republic,0.04605
Algeria,Colombia,0.046
Germany,Iraq,0.04585
Germany,Tunisia,0.04584
Bosnia and Herzegovina,South Korea,0.0458
Portugal,United States,0.04552
