,Algeria,Argentina,Australia,Austria,Belgium,Bosnia and Herzegovina,Brazil,Canada,Cape Verde,Colombia,Croatia,Curaçao,Czech Republic,DR Congo,Ecuador,Egypt,England,France,Germany,Ghana,Haiti,Iran,Iraq,Ivory Coast,Japan,Jordan,Mexico,Morocco,Netherlands,New Zealand,Norway,Panama,Paraguay,Portugal,Qatar,Saudi Arabia,Scotland,Senegal,South Africa,South Korea,Spain,Sweden,Switzerland,Tunisia,Turkey,United States,Uruguay,Uzbekistan
Algeria,0.00582,0.006040000000000045,0.01561,0.0020999999999999908,0.04701,0.00246,0.00324,0.01582,0.00937,0.046,0.01458,0.00053,0.00359,0.00469,0.00488,0.01072,0.03854,0.01057,0.00524,0.00221,0.0004,0.01526,0.00076,0.00225,0.00325,0.0012900000000000134,0.00616,0.00203,0.00345,0.00976,0.00496,0.01352,0.01883,0.03754,0.00189,0.01326,0.00165,0.00252,0.00097,0.00311,0.2285,0.00123,0.03071,0.00165,0.03909,0.01856,0.11471,0.0081
Argentina,0.006040000000000045,0.00433,0.10729,0.006920000000000037,0.09378,0.00214,0.00812,0.02557,0.0801,0.15643,0.01909,0.0029,0.00487,0.00789,0.01589,0.05439,0.04734,0.02454,0.01735,0.00279,0.00047,0.07154,0.00411,0.01196,0.00653,0.005659999999999998,0.00966,0.00366,0.00694,0.04421,0.01412,0.0144,0.1281,0.10503,0.00148,0.11539,0.00257,0.01147,0.00083,0.00462,0.32859,0.00321,0.05784,0.00414,0.15032,0.12511,0.43513,0.01449
Australia,0.01561,0.10729,0.00333,0.01846,0.09666,0.00916,0.00316,0.01506,0.00244,0.06613,0.00331,0.00811,0.00423,0.00367,0.04916,0.06168,0.01059,0.06567,0.04462,0.00044,0.0004,0.07555,0.00936,0.02715,0.01415,0.01524,0.00569,0.00214,0.01442,0.06038,0.0385,0.00215,0.0034799999999999276,0.04338,0.00795,0.00396,0.00166,0.02216,0.0019,0.00459,0.03631,0.01016,0.02171,0.01203,0.0050200000000000244,0.003190000000000026,0.02256,0.00657
Austria,0.0020999999999999908,0.006920000000000037,0.01846,0.00757,0.05411,0.00284,0.00381,0.01911,0.01087,0.05499,0.01668,0.00065,0.00389,0.00607,0.00547,0.01337,0.04514,0.0126,0.00597,0.00248,0.0004,0.01843,0.00087,0.0027,0.00355,0.0021500000000000963,0.0069,0.00226,0.00413,0.01193,0.00549,0.01502,0.02291,0.04332,0.00217,0.0153,0.0019,0.00267,0.00102,0.00343,0.24574,0.00168,0.03475,0.0019,0.04476,0.02215,0.12796,0.00924
Belgium,0.04701,0.09378,0.09666,0.05411,0.00012,0.00816,0.00774,0.0264,0.02093,0.06261,0.01051,0.02463,0.0515,0.00348,0.06021,0.0024500000000000632,0.0218,0.11006,0.06071,0.0017,0.00136,0.0038000000000000256,0.0295,0.07254,0.02041,0.04488,0.0404,0.00691,0.02317,0.0018199999999999328,0.06958,0.00715,0.11828,0.04928,0.00615,0.03242,0.0053,0.06401,0.03251,0.05095,0.1832,0.00963,0.042,0.01138,0.22066,0.11812,0.07167,0.00692
Bosnia and Herzegovina,0.00246,0.00214,0.00916,0.00284,0.00816,5e-05,0.00474,0.00035999999999991594,0.0003,0.01077,0.00069,0.0025,0.04605,0.00048,0.02631,0.00426,0.00149,0.01098,0.0231,9e-05,0.00091,0.0043,0.0021,0.00996,0.01182,0.0027,0.04211,0.00487,0.01682,0.00385,0.00619,0.00059,0.01117,0.00707,2.999999999997449e-05,0.00042,0.00389,0.00473,0.02172,0.0458,0.00339,0.00455,0.00029999999999996696,0.00662,0.02815,0.01166,0.00146,0.00089
Brazil,0.00324,0.00812,0.00316,0.00381,0.00774,0.00474,0.00292,0.0205,0.00176,0.02197,0.02069,0.01518,0.03772,0.00248,0.13816,0.00197,0.08656,0.13195,0.15928,0.00162,0.0009200000000000319,0.00258,0.01366,0.06419,0.26454,0.00294,0.06136,0.005900000000000016,0.29452,0.0015,0.09558,0.01517,0.00387,0.01459,0.00317,0.00287,0.003770000000000051,0.04458,0.01117,0.03736,0.01216,0.11489,0.0189,0.19193,0.00584,0.00312,0.00475,0.00374
Canada,0.01582,0.02557,0.01506,0.01911,0.0264,0.00035999999999991594,0.0205,0.0001,0.00086,0.09316,0.0059,0.01202,0.13891,0.00421,0.04463,0.02149,0.01399,0.04124,0.04274,0.0012,0.00359,0.02365,0.01321,0.03947,0.0542,0.01711,0.1278,0.02136,0.07698,0.02187,0.02779,0.00402,0.0176,0.0609,0.00019999999999997797,0.00143,0.0165,0.02913,0.06365,0.13253,0.01254,0.02531,0.0010099999999999554,0.03583,0.03115,0.0168,0.00537,0.00827
Cape Verde,0.00937,0.0801,0.00244,0.01087,0.02093,0.0003,0.00176,0.00086,0.00174,0.00469,0.00795,0.00026,0.00896,0.00057,0.00306,0.00481,0.02666,0.01771,0.00263,0.00124,9e-05,0.00667,0.0007,0.00073,0.00132,0.00973,0.017,0.00071,0.00152,0.00496,0.00945,0.00777,0.00325,0.00401,0.0002,2.999999999997449e-05,0.0006,0.00213,0.00204,0.00752,0.003290000000000015,0.0006,0.00129,0.00085,0.00585,0.00316,0.0012300000000000644,0.0006
Colombia,0.046,0.15643,0.06613,0.05499,0.06261,0.01077,0.02197,0.09316,0.00469,0.0,0.16118,0.0224,0.01124,0.0021899999999999142,0.06563,0.02399,0.1997,0.08035,0.07213,0.05012,0.00153,0.03279,0.02851,0.07328,0.02083,0.04386,0.02648,0.00914,0.02018,0.01967,0.05793,0.14364,0.07601,0.014580000000000037,0.00738,0.00692,0.00735,0.06153,0.00263,0.01144,0.1869,0.01094,0.19869,0.01301,0.08285,0.06924,0.07097,0.003449999999999953
Croatia,0.01458,0.01909,0.00331,0.01668,0.01051,0.00069,0.02069,0.0059,0.00795,0.16118,0.0,0.00862,0.01914,0.05184,0.02883,0.0027,0.005009999999999959,0.02445,0.03377,0.00024000000000001798,0.0015,0.00443,0.01106,0.02825,0.00793,0.01375,0.04347,0.00845,0.00725,0.00202,0.02191,0.0012799999999999478,0.0042,0.18766,0.00051,0.0121,0.00706,0.02308,0.00371,0.01751,0.07506,0.0041,0.0133,0.00501,0.00783,0.00322,0.0314,0.07531
Curaçao,0.00053,0.0029,0.00811,0.00065,0.02463,0.0025,0.01518,0.01202,0.00026,0.0224,0.00862,0.00446,0.01156,0.0016,0.0022400000000000198,0.00523,0.0325,0.02827,0.002389999999999892,0.00143,0.00091,0.00754,0.00766,0.0005599999999998939,0.00487,0.00038,0.02104,0.00562,0.00446,0.00528,0.0313,0.00946,0.00961,0.015,0.00212,0.00035,0.00502,0.01683,0.00326,0.00922,0.00552,0.0022,0.02319,0.003,0.02164,0.00922,0.0016,0.00274
Czech Republic,0.00359,0.00487,0.00423,0.00389,0.0515,0.04605,0.03772,0.13891,0.00896,0.01124,0.01914,0.01156,0.00025,0.00202,0.06101,0.01115,0.07484,0.0448,0.05851,0.00178,0.01285,0.0165,0.0119,0.03634,0.05597,0.00273,0.0012199999999999989,0.04431,0.08307,0.01132,0.03007,0.01692,0.0057,0.00948,0.03715,0.01353,0.03665,0.02677,0.00026999999999999247,0.0011699999999998933,0.01732,0.02349,0.08359,0.03511,0.01151,0.00509,0.01294,0.00313
DR Congo,0.00469,0.00789,0.00367,0.00607,0.00348,0.00048,0.00248,0.00421,0.00057,0.0021899999999999142,0.05184,0.0016,0.00202,0.0,0.0041,0.00104,0.06537,0.0042,0.0049,0.01435,0.0002,0.00134,0.00168,0.00402,0.00162,0.00389,0.00426,0.00121,0.00139,0.00075,0.00322,0.04965,0.00361,0.0014600000000000168,0.00028,0.00076,0.001,0.0038,0.00037,0.00177,0.0403,0.00095,0.0088,0.001,0.00413,0.00359,0.01333,0.0001100000000000545
Ecuador,0.00488,0.01589,0.04916,0.00547,0.06021,0.02631,0.13816,0.04463,0.00306,0.06563,0.02883,0.0022400000000000198,0.06101,0.0041,0.01373,0.01283,0.11167,0.30014,0.010999999999999899,0.00328,0.01888,0.01948,0.0379,0.01205999999999996,0.07252,0.00391,0.07774,0.07727,0.07436,0.01201,0.21731,0.0236,0.05263,0.04219,0.02271,0.00465,0.07044,0.09507,0.02697,0.05917,0.04002,0.03833,0.05887,0.0484,0.06839,0.0521,0.01314,0.00691
Egypt,0.01072,0.05439,0.06168,0.01337,0.0024500000000000632,0.00426,0.00197,0.02149,0.00481,0.02399,0.0027,0.00523,0.01115,0.00104,0.01283,8e-05,0.00591,0.04538,0.01356,0.00045,0.00023,0.0008699999999999264,0.00685,0.0147,0.00364,0.01101,0.00867,0.00145,0.00471,0.00041000000000002146,0.02651,0.0018,0.07277,0.01581,0.00292,0.00708,0.00077,0.01655,0.00703,0.01103,0.03253,0.00144,0.04119,0.0019,0.09006,0.07865,0.01743,0.00212
England,0.03854,0.04734,0.01059,0.04514,0.0218,0.00149,0.08656,0.01399,0.02666,0.1997,0.005009999999999959,0.0325,0.07484,0.06537,0.11167,0.00591,0.0,0.08594,0.13222,0.0007500000000000284,0.00586,0.00844,0.03767,0.10711,0.03163,0.04068,0.16779,0.03628,0.02632,0.00447,0.08499,0.003190000000000026,0.01307,0.20156,0.00069,0.0417,0.02788,0.08579,0.0131,0.06555,0.09066,0.01559,0.03319,0.01923,0.02003,0.01023,0.05324,0.09398
France,0.01057,0.02454,0.06567,0.0126,0.11006,0.01098,0.13195,0.04124,0.01771,0.08035,0.02445,0.02827,0.0448,0.0042,0.30014,0.04538,0.08594,0.00952,0.28968,0.00229,0.02837,0.05447,0.004450000000000065,0.10593,0.12479,0.00843,0.06805,0.10793,0.164,0.04431,0.01187999999999989,0.01879,0.06874,0.05379,0.00784,0.03001,0.09145,0.011609999999999898,0.01294,0.04686,0.11952,0.05364,0.05278,0.07187,0.08691,0.06769,0.04152,0.00753
Germany,0.00524,0.01735,0.04462,0.00597,0.06071,0.0231,0.15928,0.04274,0.00263,0.07213,0.03377,0.002389999999999892,0.05851,0.0049,0.010999999999999899,0.01356,0.13222,0.28968,0.01618,0.00354,0.01873,0.02049,0.04585,0.011749999999999927,0.07035,0.00444,0.07991,0.07468,0.06953,0.01318,0.23241,0.02895,0.04793,0.04697,0.01925,0.00466,0.06941,0.10811,0.02272,0.05135,0.03758,0.03488,0.06123,0.04584,0.06805,0.04719,0.01323,0.00879
Ghana,0.00221,0.00279,0.00044,0.00248,0.0017,9e-05,0.00162,0.0012,0.00124,0.05012,0.00024000000000001798,0.00143,0.00178,0.01435,0.00328,0.00045,0.0007500000000000284,0.00229,0.00354,0.0,0.00018,0.0006,0.00119,0.00394,0.00094,0.00185,0.00419,0.00082,0.00078,0.0003,0.00246,0.0001500000000000945,0.00053,0.05764,0.00013,0.00194,0.00055,0.0031,0.00042,0.0021,0.01174,0.00053,0.00217,0.00064,0.00094,0.00049,0.00518,0.02149
Haiti,0.0004,0.00047,0.0004,0.0004,0.00136,0.00091,0.0009200000000000319,0.00359,9e-05,0.00153,0.0015,0.00091,0.01285,0.0002,0.01888,0.00023,0.00586,0.02837,0.01873,0.00018,0.00095,0.00037,0.00119,0.00453,0.03424,0.0003,0.02217,0.0007299999999998974,0.05553,0.00013,0.01547,0.00155,0.00045,0.00109,0.00053,0.00016,0.0006399999999999739,0.00408,0.00323,0.01123,0.00197,0.01009,0.00276,0.02084,0.00082,0.00037,0.00043,0.00037
Iran,0.01526,0.07154,0.07555,0.01843,0.0038000000000000256,0.0043,0.00258,0.02365,0.00667,0.03279,0.00443,0.00754,0.0165,0.00134,0.01948,0.0008699999999999264,0.00844,0.05447,0.02049,0.0006,0.00037,0.0001,0.00965,0.02275,0.00627,0.01542,0.01279,0.00243,0.00708,0.0007999999999999119,0.03409,0.00248,0.08742,0.02303,0.00375,0.01068,0.00168,0.02174,0.00977,0.01557,0.05257,0.003,0.04306,0.00342,0.11628,0.09366,0.02567,0.00275
Iraq,0.00076,0.00411,0.00936,0.00087,0.0295,0.0021,0.01366,0.01321,0.0007,0.02851,0.01106,0.00766,0.0119,0.00168,0.0379,0.00685,0.03767,0.004450000000000065,0.04585,0.00119,0.00119,0.00965,0.00678,0.02305,0.00559,0.00061,0.02377,0.00602,0.00557,0.00753,0.0023699999999999832,0.01092,0.01176,0.01918,0.00153,0.00111,0.00518,0.0006900000000000794,0.0027,0.01019,0.00824,0.00289,0.02669,0.00346,0.02421,0.01195,0.00294,0.00295
Ivory Coast,0.00225,0.01196,0.02715,0.0027,0.07254,0.00996,0.06419,0.03947,0.00073,0.07328,0.02825,0.0005599999999998939,0.03634,0.00402,0.01205999999999996,0.0147,0.10711,0.10593,0.011749999999999927,0.00394,0.00453,0.02275,0.02305,0.01879,0.02184,0.00146,0.06671,0.02466,0.01983,0.01584,0.10243,0.02792,0.03193,0.04841,0.00745,0.00139,0.0235,0.05475,0.01058,0.0319,0.02156,0.01026,0.06948,0.01382,0.06565,0.03109,0.00717,0.0086
Japan,0.00325,0.00653,0.01415,0.00355,0.02041,0.01182,0.26454,0.0542,0.00132,0.02083,0.00793,0.00487,0.05597,0.00162,0.07252,0.00364,0.03163,0.12479,0.07035,0.00094,0.03424,0.00627,0.00559,0.02184,0.00416,0.00248,0.07655,0.14855,0.008610000000000007,0.00309,0.06201,0.00678,0.017,0.01466,0.00789,0.00214,0.15872,0.01911,0.0192,0.05601,0.02114,0.0026999999999999247,0.0645,0.0041400000000000325,0.03782,0.01672,0.00579,0.00266
Jordan,0.0012900000000000134,0.005659999999999998,0.01524,0.0021500000000000963,0.04488,0.0027,0.00294,0.01711,0.00973,0.04386,0.01375,0.00038,0.00273,0.00389,0.00391,0.01101,0.04068,0.00843,0.00444,0.00185,0.0003,0.01542,0.00061,0.00146,0.00248,0.00634,0.00521,0.00143,0.00239,0.01045,0.00346,0.01301,0.01934,0.0342,0.00184,0.01498,0.00132,0.0017,0.00076,0.00253,0.20609,0.00106,0.03426,0.00141,0.04055,0.01839,0.10969,0.00655
Mexico,0.00616,0.00966,0.00569,0.0069,0.0404,0.04211,0.06136,0.1278,0.017,0.02648,0.04347,0.02104,0.0012199999999999989,0.00426,0.07774,0.00867,0.16779,0.06805,0.07991,0.00419,0.02217,0.01279,0.02377,0.06671,0.07655,0.00521,0.00022,0.0676,0.1004,0.00839,0.05119,0.03818,0.00679,0.01932,0.03431,0.02832,0.05741,0.05211,0.00032999999999994145,0.0012700000000001044,0.02292,0.03772,0.08106,0.05137,0.01265,0.00547,0.02276,0.0072
Morocco,0.00203,0.00366,0.00214,0.00226,0.00691,0.00487,0.005900000000000016,0.02136,0.00071,0.00914,0.00845,0.00562,0.04431,0.00121,0.07727,0.00145,0.03628,0.10793,0.07468,0.00082,0.0007299999999998974,0.00243,0.00602,0.02466,0.14855,0.00143,0.0676,0.00415,0.21659,0.00123,0.05769,0.00734,0.00253,0.00645,0.00337,0.00128,0.004729999999999901,0.01986,0.01349,0.041,0.01107,0.05273,0.0158,0.09688,0.00407,0.00217,0.00326,0.00178
Netherlands,0.00345,0.00694,0.01442,0.00413,0.02317,0.01682,0.29452,0.07698,0.00152,0.02018,0.00725,0.00446,0.08307,0.00139,0.07436,0.00471,0.02632,0.164,0.06953,0.00078,0.05553,0.00708,0.00557,0.01983,0.008610000000000007,0.00239,0.1004,0.21659,0.00343,0.00357,0.07283,0.00531,0.01609,0.01354,0.0128,0.00248,0.22213,0.0205,0.0303,0.08293,0.02848,0.003409999999999913,0.07301,0.0044599999999999085,0.0334,0.01536,0.00765,0.0024
New Zealand,0.00976,0.04421,0.06038,0.01193,0.0018199999999999328,0.00385,0.0015,0.02187,0.00496,0.01967,0.00202,0.00528,0.01132,0.00075,0.01201,0.00041000000000002146,0.00447,0.04431,0.01318,0.0003,0.00013,0.0007999999999999119,0.00753,0.01584,0.00309,0.01045,0.00839,0.00123,0.00357,4e-05,0.02719,0.0012,0.06806,0.01328,0.00288,0.00731,0.00087,0.01641,0.00747,0.01089,0.02656,0.00153,0.04168,0.00193,0.08864,0.07439,0.01502,0.00176
Norway,0.00496,0.01412,0.0385,0.00549,0.06958,0.00619,0.09558,0.02779,0.00945,0.05793,0.02191,0.0313,0.03007,0.00322,0.21731,0.02651,0.08499,0.01187999999999989,0.23241,0.00246,0.01547,0.03409,0.0023699999999999832,0.10243,0.06201,0.00346,0.05119,0.05769,0.07283,0.02719,0.01275,0.0193,0.04104,0.03797,0.0047,0.0148,0.05165,0.008389999999999898,0.00793,0.02881,0.04853,0.02764,0.04649,0.03863,0.06015,0.04248,0.01993,0.00691
Panama,0.01352,0.0144,0.00215,0.01502,0.00715,0.00059,0.01517,0.00402,0.00777,0.14364,0.0012799999999999478,0.00946,0.01692,0.04965,0.0236,0.0018,0.003190000000000026,0.01879,0.02895,0.0001500000000000945,0.00155,0.00248,0.01092,0.02792,0.00678,0.01301,0.03818,0.00734,0.00531,0.0012,0.0193,0.0,0.00294,0.17177,0.00025,0.01216,0.00546,0.02227,0.00314,0.01491,0.05134,0.00332,0.00884,0.00448,0.00507,0.00215,0.02324,0.06987
Paraguay,0.01883,0.1281,0.0034799999999999276,0.02291,0.11828,0.01117,0.00387,0.0176,0.00325,0.07601,0.0042,0.00961,0.0057,0.00361,0.05263,0.07277,0.01307,0.06874,0.04793,0.00053,0.00045,0.08742,0.01176,0.03193,0.017,0.01934,0.00679,0.00253,0.01609,0.06806,0.04104,0.00294,0.00342,0.04934,0.00995,0.00505,0.00203,0.02614,0.00221,0.00562,0.04904,0.01214,0.02555,0.01436,0.006119999999999903,0.003609999999999891,0.02721,0.00731
Portugal,0.03754,0.10503,0.04338,0.04332,0.04928,0.00707,0.01459,0.0609,0.00401,0.014580000000000037,0.18766,0.015,0.00948,0.0014600000000000168,0.04219,0.01581,0.20156,0.05379,0.04697,0.05764,0.00109,0.02303,0.01918,0.04841,0.01466,0.0342,0.01932,0.00645,0.01354,0.01328,0.03797,0.17177,0.04934,0.0,0.00449,0.00597,0.00502,0.04034,0.00219,0.00914,0.2266,0.00798,0.12322,0.00892,0.05695,0.04552,0.08066,0.0024399999999999977
Qatar,0.00189,0.00148,0.00795,0.00217,0.00615,2.999999999997449e-05,0.00317,0.00019999999999997797,0.0002,0.00738,0.00051,0.00212,0.03715,0.00028,0.02271,0.00292,0.00069,0.00784,0.01925,0.00013,0.00053,0.00375,0.00153,0.00745,0.00789,0.00184,0.03431,0.00337,0.0128,0.00288,0.0047,0.00025,0.00995,0.00449,6e-05,0.00036,0.00285,0.00317,0.01758,0.03692,0.0029,0.00341,0.00024000000000001798,0.00482,0.02467,0.01025,0.00089,0.00061
Saudi Arabia,0.01326,0.11539,0.00396,0.0153,0.03242,0.00042,0.00287,0.00143,2.999999999997449e-05,0.00692,0.0121,0.00035,0.01353,0.00076,0.00465,0.00708,0.0417,0.03001,0.00466,0.00194,0.00016,0.01068,0.00111,0.00139,0.00214,0.01498,0.02832,0.00128,0.00248,0.00731,0.0148,0.01216,0.00505,0.00597,0.00036,0.00309,0.00097,0.00421,0.00316,0.01177,0.006040000000000045,0.0007,0.00185,0.00089,0.00897,0.00498,0.0016599999999999948,0.00122
Scotland,0.00165,0.00257,0.00166,0.0019,0.0053,0.00389,0.003770000000000051,0.0165,0.0006,0.00735,0.00706,0.00502,0.03665,0.001,0.07044,0.00077,0.02788,0.09145,0.06941,0.00055,0.0006399999999999739,0.00168,0.00518,0.0235,0.15872,0.00132,0.05741,0.004729999999999901,0.22213,0.00087,0.05165,0.00546,0.00203,0.00502,0.00285,0.00097,0.0027,0.01748,0.01094,0.03336,0.00819,0.05807,0.01237,0.10412,0.00308,0.00171,0.00287,0.00115
Senegal,0.00252,0.01147,0.02216,0.00267,0.06401,0.00473,0.04458,0.02913,0.00213,0.06153,0.02308,0.01683,0.02677,0.0038,0.09507,0.01655,0.08579,0.011609999999999898,0.10811,0.0031,0.00408,0.02174,0.0006900000000000794,0.05475,0.01911,0.0017,0.05211,0.01986,0.0205,0.01641,0.008389999999999898,0.02227,0.02614,0.04034,0.00317,0.00421,0.01748,0.01734,0.00548,0.02201,0.02262,0.00879,0.05469,0.01144,0.05405,0.02472,0.00846,0.00668
South Africa,0.00097,0.00083,0.0019,0.00102,0.03251,0.02172,0.01117,0.06365,0.00204,0.00263,0.00371,0.00326,0.00026999999999999247,0.00037,0.02697,0.00703,0.0131,0.01294,0.02272,0.00042,0.00323,0.00977,0.0027,0.01058,0.0192,0.00076,0.00032999999999994145,0.01349,0.0303,0.00747,0.00793,0.00314,0.00221,0.00219,0.01758,0.00316,0.01094,0.00548,0.00011,0.000180000000000069,0.00642,0.00668,0.03809,0.01018,0.00534,0.00215,0.00365,0.00065
South Korea,0.00311,0.00462,0.00459,0.00343,0.05095,0.0458,0.03736,0.13253,0.00752,0.01144,0.01751,0.00922,0.0011699999999998933,0.00177,0.05917,0.01103,0.06555,0.04686,0.05135,0.0021,0.01123,0.01557,0.01019,0.0319,0.05601,0.00253,0.0012700000000001044,0.041,0.08293,0.01089,0.02881,0.01491,0.00562,0.00914,0.03692,0.01177,0.03336,0.02201,0.000180000000000069,0.00019,0.01873,0.02174,0.08036,0.03206,0.01319,0.00487,0.0116,0.00325
Spain,0.2285,0.32859,0.03631,0.24574,0.1832,0.00339,0.01216,0.01254,0.003290000000000015,0.1869,0.07506,0.00552,0.01732,0.0403,0.04002,0.03253,0.09066,0.11952,0.03758,0.01174,0.00197,0.05257,0.00824,0.02156,0.02114,0.20609,0.02292,0.01107,0.02848,0.02656,0.04853,0.05134,0.04904,0.2266,0.0029,0.006040000000000045,0.00819,0.02262,0.00642,0.01873,0.00166,0.00705,0.01997,0.0089,0.10186,0.04046,0.009849999999999914,0.06053
Sweden,0.00123,0.00321,0.01016,0.00168,0.00963,0.00455,0.11489,0.02531,0.0006,0.01094,0.0041,0.0022,0.02349,0.00095,0.03833,0.00144,0.01559,0.05364,0.03488,0.00053,0.01009,0.003,0.00289,0.01026,0.0026999999999999247,0.00106,0.03772,0.05273,0.003409999999999913,0.00153,0.02764,0.00332,0.01214,0.00798,0.00341,0.0007,0.05807,0.00879,0.00668,0.02174,0.00705,0.00229,0.03868,0.0009799999999999809,0.02976,0.01259,0.00266,0.00146
Switzerland,0.03071,0.05784,0.02171,0.03475,0.042,0.00029999999999996696,0.0189,0.0010099999999999554,0.00129,0.19869,0.0133,0.02319,0.08359,0.0088,0.05887,0.04119,0.03319,0.05278,0.06123,0.00217,0.00276,0.04306,0.02669,0.06948,0.0645,0.03426,0.08106,0.0158,0.07301,0.04168,0.04649,0.00884,0.02555,0.12322,0.00024000000000001798,0.00185,0.01237,0.05469,0.03809,0.08036,0.01997,0.03868,8e-05,0.04987,0.03666,0.02199,0.00932,0.01683
Tunisia,0.00165,0.00414,0.01203,0.0019,0.01138,0.00662,0.19193,0.03583,0.00085,0.01301,0.00501,0.003,0.03511,0.001,0.0484,0.0019,0.01923,0.07187,0.04584,0.00064,0.02084,0.00342,0.00346,0.01382,0.0041400000000000325,0.00141,0.05137,0.09688,0.0044599999999999085,0.00193,0.03863,0.00448,0.01436,0.00892,0.00482,0.00089,0.10412,0.01144,0.01018,0.03206,0.0089,0.0009799999999999809,0.04987,0.00258,0.03452,0.01419,0.00295,0.00169
Turkey,0.03909,0.15032,0.0050200000000000244,0.04476,0.22066,0.02815,0.00584,0.03115,0.00585,0.08285,0.00783,0.02164,0.01151,0.00413,0.06839,0.09006,0.02003,0.08691,0.06805,0.00094,0.00082,0.11628,0.02421,0.06565,0.03782,0.04055,0.01265,0.00407,0.0334,0.08864,0.06015,0.00507,0.006119999999999903,0.05695,0.02467,0.00897,0.00308,0.05405,0.00534,0.01319,0.10186,0.02976,0.03666,0.03452,0.00364,0.004729999999999901,0.04491,0.00761
