Team,Group,R32,R16,QF,SF,Final,Winner,Group_Prob,R32_Prob,R16_Prob,QF_Prob,SF_Prob,Final_Prob,Winner_Prob,Advance_Prob
Spain,100000,99233,71481,44893,26118,26118,8038,1.0,0.9923,0.7148,0.4489,0.2612,0.2612,0.0804,0.9923
Argentina,100000,97883,67910,41434,23482,23482,7032,1.0,0.9788,0.6791,0.4143,0.2348,0.2348,0.0703,0.9788
France,100000,96877,64847,38636,21883,21883,6357,1.0,0.9688,0.6485,0.3864,0.2188,0.2188,0.0636,0.9688
England,100000,95203,57588,32011,17245,17245,4614,1.0,0.952,0.5759,0.3201,0.1724,0.1724,0.0461,0.952
Brazil,100000,94820,57381,31951,16811,16811,4512,1.0,0.9482,0.5738,0.3195,0.1681,0.1681,0.0451,0.9482
Colombia,100000,93639,56822,31589,16813,16813,4486,1.0,0.9364,0.5682,0.3159,0.1681,0.1681,0.0449,0.9364
Portugal,100000,91480,52786,28599,14903,14903,3832,1.0,0.9148,0.5279,0.286,0.149,0.149,0.0383,0.9148
Ecuador,100000,93103,52599,28086,14463,14463,3594,1.0,0.931,0.526,0.2809,0.1446,0.1446,0.0359,0.931
Germany,100000,93118,52298,27605,14299,14299,3552,1.0,0.9312,0.523,0.276,0.143,0.143,0.0355,0.9312
Netherlands,100000,89492,48478,25002,12576,12576,3144,1.0,0.8949,0.4848,0.25,0.1258,0.1258,0.0314,0.8949
Belgium,100000,91520,49096,25240,12780,12780,3131,1.0,0.9152,0.491,0.2524,0.1278,0.1278,0.0313,0.9152
Switzerland,100000,94776,50078,25334,12640,12640,3027,1.0,0.9478,0.5008,0.2533,0.1264,0.1264,0.0303,0.9478
Turkey,100000,87355,47207,24211,12256,12256,3000,1.0,0.8736,0.4721,0.2421,0.1226,0.1226,0.03,0.8736
Uruguay,100000,88304,46625,23617,11799,11799,2857,1.0,0.883,0.4662,0.2362,0.118,0.118,0.0286,0.883
Norway,100000,84095,45032,23074,11605,11605,2813,1.0,0.841,0.4503,0.2307,0.116,0.116,0.0281,0.841
Japan,100000,78547,42485,21782,10866,10866,2717,1.0,0.7855,0.4248,0.2178,0.1087,0.1087,0.0272,0.7855
Mexico,100000,90074,45344,22073,10628,10628,2528,1.0,0.9007,0.4534,0.2207,0.1063,0.1063,0.0253,0.9007
Morocco,100000,75587,39869,20110,10034,10034,2436,1.0,0.7559,0.3987,0.2011,0.1003,0.1003,0.0244,0.7559
Croatia,100000,74898,38982,19681,9656,9656,2359,1.0,0.749,0.3898,0.1968,0.0966,0.0966,0.0236,0.749
Canada,100000,90174,41706,19472,9135,9135,1992,1.0,0.9017,0.4171,0.1947,0.0914,0.0914,0.0199,0.9017
Paraguay,100000,65046,31705,15261,7364,7364,1699,1.0,0.6505,0.317,0.1526,0.0736,0.0736,0.017,0.6505
South Korea,100000,69997,32224,14879,6927,6927,1539,1.0,0.7,0.3222,0.1488,0.0693,0.0693,0.0154,0.7
Austria,100000,59371,28553,13675,6567,6567,1526,1.0,0.5937,0.2855,0.1368,0.0657,0.0657,0.0153,0.5937
Senegal,100000,56894,27829,13301,6399,6399,1529,1.0,0.5689,0.2783,0.133,0.064,0.064,0.0153,0.5689
Iran,100000,66783,30520,13994,6591,6591,1498,1.0,0.6678,0.3052,0.1399,0.0659,0.0659,0.015,0.6678
Scotland,100000,72405,31528,13961,6229,6229,1364,1.0,0.724,0.3153,0.1396,0.0623,0.0623,0.0136,0.724
Czech Republic,100000,76174,31975,13922,6258,6258,1364,1.0,0.7617,0.3198,0.1392,0.0626,0.0626,0.0136,0.7617
Australia,100000,57013,26334,11999,5544,5544,1226,1.0,0.5701,0.2633,0.12,0.0554,0.0554,0.0123,0.5701
