Date,Team,Elo
1930-07-13,Mexico,1496.6244322278121
1930-07-13,France,1311.1263455438802
1930-07-13,Belgium,1446.0034306775844
1930-07-13,United States,1508.5156838472092
1930-07-14,Peru,1388.9042135405386
1930-07-14,Romania,1477.7401773555566
1930-07-14,Brazil,1582.5005209174815
1930-07-14,Yugoslavia,1479.2052769529575
1930-07-15,Argentina,1773.182684354223
1930-07-15,France,1376.2910972703812
1930-07-16,Chile,1365.92765991094
1930-07-16,Mexico,1431.4596805013111
1930-07-17,Paraguay,1538.4480224857048
1930-07-17,Yugoslavia,1524.9968136946625
1930-07-17,United States,1566.6584693898963
1930-07-17,Bolivia,1298.3054697461685
1930-07-18,Peru,1342.458740433861
1930-07-18,Uruguay,1697.5947184232941
1930-07-19,France,1373.0421337858065
1930-07-19,Chile,1413.2363217626762
1930-07-19,Mexico,1384.1510186495748
1930-07-19,Argentina,1776.4316478387977
1930-07-20,Bolivia,1261.703631490814
1930-07-20,Belgium,1387.8606451348974
1930-07-20,Brazil,1536.7089841757765
1930-07-20,Paraguay,1475.251899005918
1930-07-21,Romania,1524.1856504622342
1930-07-21,Uruguay,1701.6665573938458
1930-07-22,Chile,1431.7478409812454
1930-07-22,Argentina,1782.261776979218
1930-07-26,Argentina,1788.5227666040805
1930-07-26,United States,1629.854592869683
1930-07-27,Uruguay,1720.6068464994296
1930-07-27,Yugoslavia,1561.598651950017
1930-07-30,Argentina,1810.611143981128
1930-07-30,Uruguay,1742.659969794981
1934-05-27,France,1456.8722386412128
1934-05-27,Argentina,1786.2423826921606
1934-05-27,Romania,1556.8960279447217
1934-05-27,Brazil,1682.975296854381
1934-05-27,Sweden,1598.191349538652
1934-05-27,Austria,1865.2749220611395
1934-05-27,Germany,1633.3264624282644
1934-05-27,Hungary,1647.9949339324712
1934-05-27,Netherlands,1479.2273826285887
1934-05-27,Switzerland,1427.3809380776286
1934-05-27,Belgium,1321.3307259599433
1934-05-27,Egypt,1589.3215544510667
1934-05-27,Spain,1744.6284182716756
1934-05-27,Czechoslovakia,1655.7553735764577
1934-05-27,United States,1625.8908832816028
1934-05-27,Italy,1765.5325380352037
1934-05-31,Sweden,1648.5907605359043
1934-05-31,Austria,1868.3261700270684
1934-05-31,Hungary,1698.3224728873415
1934-05-31,Switzerland,1469.7168044822279
1934-05-31,Spain,1794.5750517595072
1934-05-31,Czechoslovakia,1670.2425921701674
1934-05-31,Italy,1791.1716661444939
1934-05-31,Germany,1657.2534051299701
1934-06-01,Spain,1802.7074043075568
1934-06-01,Italy,1783.0393135964443
1934-06-03,Germany,1678.165131212046
1934-06-03,Austria,1878.794426864405
1934-06-03,Czechoslovakia,1679.2781117570044
1934-06-03,Italy,1806.2239182722878
1934-06-07,Austria,1851.1579710380856
1934-06-07,Germany,1645.9037031906307
1934-06-10,Czechoslovakia,1711.5395397784196
1934-06-10,Italy,1833.8603740986073
1938-06-04,Switzerland,1487.4728977155119
1938-06-04,Germany,1712.5920808529638
1938-06-05,Netherlands,1528.5739081271481
1938-06-05,Brazil,1610.4621332198678
1938-06-05,Hungary,1751.7027210027031
1938-06-05,Cuba,1473.417689036771
1938-06-05,Dutch East Indies,1505.4351279617943
1938-06-05,Belgium,1402.5299756569416
1938-06-05,Norway,1502.5591751233308
1938-06-05,Poland,1542.1276528848086
1938-06-05,Czechoslovakia,1614.8309456467196
1938-06-05,Romania,1489.3304446540967
1938-06-05,Italy,1880.7566850194498
1938-06-05,France,1472.1999985548935
1938-06-09,Cuba,1466.295532587494
