Year,Date,Host_Country,Host_City,Stage,Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Penalties_Home_Score,Penalties_Away_Score,Winner,Draw,Tournament_Avg_Temp_C,Warm_Cup,Home_Koppen,Home_Climate_Zone,Home_Warm_Climate,Home_Avg_Annual_Temp_C,Away_Koppen,Away_Climate_Zone,Away_Warm_Climate,Away_Avg_Annual_Temp_C,Home_Elo,Away_Elo,Home_Elo_Advantage,Home_Elo_Expected
1930,1930-07-13,Uruguay,Montevideo,Group Stage,France,Mexico,4,1,0,0,0,France,0,10.9,0,Cfb,Temperate,0,11.5,BSh,Arid,1,21.0,1311.1,1496.6,-185.5,0.379
1930,1930-07-13,Uruguay,Montevideo,Group Stage,United States,Belgium,3,0,0,0,0,United States,0,10.9,0,Cfa,Temperate,1,10.0,Cfb,Temperate,0,10.0,1508.5,1446.0,62.5,0.718
1930,1930-07-14,Uruguay,Montevideo,Group Stage,Romania,Peru,3,1,0,0,0,Romania,0,10.9,0,Dfb,Continental,0,9.0,BWh,Arid,1,20.0,1477.7,1388.9,88.8,0.748
1930,1930-07-14,Uruguay,Montevideo,Group Stage,Yugoslavia,Brazil,2,1,0,0,0,Yugoslavia,0,10.9,0,Cfb,Temperate,0,10.0,Am,Tropical,1,25.0,1479.2,1582.5,-103.3,0.495
1930,1930-07-15,Uruguay,Montevideo,Group Stage,Argentina,France,1,0,0,0,0,Argentina,0,10.9,0,Cfa,Temperate,1,14.0,Cfb,Temperate,0,11.5,1773.2,1376.3,396.9,0.946
1930,1930-07-16,Uruguay,Montevideo,Group Stage,Chile,Mexico,3,0,0,0,0,Chile,0,10.9,0,BSk,Arid,1,9.0,BSh,Arid,1,21.0,1365.9,1431.5,-65.5,0.549
1930,1930-07-17,Uruguay,Montevideo,Group Stage,United States,Paraguay,3,0,0,0,0,United States,0,10.9,0,Cfa,Temperate,1,10.0,Cfa,Temperate,1,23.0,1566.7,1538.4,28.2,0.677
1930,1930-07-17,Uruguay,Montevideo,Group Stage,Yugoslavia,Bolivia,4,0,0,0,0,Yugoslavia,0,10.9,0,Cfb,Temperate,0,10.0, Aw,Tropical,1,18.0,1525.0,1298.3,226.7,0.868
1930,1930-07-18,Uruguay,Montevideo,Group Stage,Uruguay,Peru,1,0,0,0,0,Uruguay,0,10.9,0,Cfa,Temperate,1,16.0,BWh,Arid,1,20.0,1697.6,1342.5,355.1,0.932
1930,1930-07-19,Uruguay,Montevideo,Group Stage,Argentina,Mexico,6,3,0,0,0,Argentina,0,10.9,0,Cfa,Temperate,1,14.0,BSh,Arid,1,21.0,1776.4,1384.2,392.3,0.944
1930,1930-07-19,Uruguay,Montevideo,Group Stage,Chile,France,1,0,0,0,0,Chile,0,10.9,0,BSk,Arid,1,9.0,Cfb,Temperate,0,11.5,1413.2,1373.0,40.2,0.691
1930,1930-07-20,Uruguay,Montevideo,Group Stage,Brazil,Bolivia,4,0,0,0,0,Brazil,0,10.9,0,Am,Tropical,1,25.0, Aw,Tropical,1,18.0,1536.7,1261.7,275.0,0.896
1930,1930-07-20,Uruguay,Montevideo,Group Stage,Paraguay,Belgium,1,0,0,0,0,Paraguay,0,10.9,0,Cfa,Temperate,1,23.0,Cfb,Temperate,0,10.0,1475.3,1387.9,87.4,0.746
