City,Year,Start_Date,End_Date,Avg_Temp_C
A Coruña,1982,1982-06-15,1982-06-22,17.1
Al Khor,2022,2022-11-20,2022-12-14,22.9
Al Rayyan,2022,2022-11-21,2022-12-17,22.7
Al Wakrah,2022,2022-11-22,2022-12-05,23.8
Alicante,1982,1982-06-18,1982-07-10,25.9
Antibes,1938,1938-06-12,1938-06-12,18.5
Arica,1962,1962-05-30,1962-06-10,15.4
Barcelona,1982,1982-06-13,1982-07-08,22.6
Bari,1990,1990-06-09,1990-07-07,23.5
Basel,1954,1954-06-17,1954-06-30,18.5
Belo Horizonte,1950,1950-06-25,1950-07-02,16.5
Belo Horizonte,2014,2014-06-14,2014-07-08,18.5
Berlin,2006,2006-06-13,2006-07-09,21.5
Bern,1954,1954-06-16,1954-07-04,15.2
Bilbao,1982,1982-06-16,1982-06-25,19.0
Birmingham,1966,1966-07-13,1966-07-20,14.3
Bloemfontein,2010,2010-06-14,2010-06-27,5.5
Bologna,1934,1934-05-27,1934-05-31,20.7
Bologna,1990,1990-06-09,1990-06-26,21.4
Bordeaux,1938,1938-06-12,1938-06-19,19.6
Bordeaux,1998,1998-06-11,1998-06-30,18.3
Borås,1958,1958-06-11,1958-06-15,12.4
Brasília,2014,2014-06-15,2014-07-12,20.1
Buenos Aires,1978,1978-06-01,1978-06-25,10.0
Busan,2002,2002-06-02,2002-06-06,20.1
Cagliari,1990,1990-06-11,1990-06-21,21.7
Cape Town,2010,2010-06-11,2010-07-06,12.3
Chicago,1994,1994-06-17,1994-07-02,22.9
Cologne,2006,2006-06-11,2006-06-26,19.3
Colombes,1938,1938-06-05,1938-06-12,20.3
Cuiabá,2014,2014-06-13,2014-06-24,25.0
Curitiba,1950,1950-06-25,1950-06-29,13.1
Curitiba,2014,2014-06-16,2014-06-26,14.5
Córdoba,1978,1978-06-03,1978-06-21,8.8
D.C,1994,1994-06-19,1994-07-02,26.1
Daegu,2002,2002-06-06,2002-06-29,22.7
Daejeon,2002,2002-06-12,2002-06-18,20.8
Dallas,1994,1994-06-17,1994-07-09,29.7
Doha,2022,2022-11-21,2022-12-10,23.9
Dortmund,1974,1974-06-14,1974-07-03,16.3
Dortmund,2006,2006-06-10,2006-07-04,19.4
Durban,2010,2010-06-13,2010-07-07,17.5
Düsseldorf,1974,1974-06-15,1974-07-03,16.8
East Rutherford,1994,1994-06-18,1994-07-13,24.7
Elche,1982,1982-06-15,1982-06-22,25.7
Eskilstuna,1958,1958-06-15,1958-06-15,13.6
Florence,1934,1934-05-27,1934-06-01,19.2
Florence,1990,1990-06-10,1990-06-30,21.1
Fortaleza,2014,2014-06-14,2014-07-04,26.0
Foxborough,1994,1994-06-21,1994-07-09,23.3
Frankfurt,1974,1974-06-13,1974-07-03,16.8
Frankfurt,2006,2006-06-10,2006-07-01,20.4
Fukuroi,2002,2002-06-21,2002-06-21,22.8
Gelsenkirchen,1974,1974-06-18,1974-07-03,16.3
Gelsenkirchen,2006,2006-06-09,2006-07-01,19.2
Geneva,1954,1954-06-16,1954-06-27,19.4
Genoa,1934,1934-05-27,1934-05-27,19.2
Genoa,1990,1990-06-11,1990-06-25,19.5
Gijón,1982,1982-06-16,1982-06-25,17.7
Gothenburg,1958,1958-06-08,1958-06-28,13.9
Guadalajara,1970,1970-06-02,1970-06-14,22.7
Guadalajara,1986,1986-06-01,1986-06-25,21.7
Guadalajara [ a ],1970,1970-06-17,1970-06-17,25.2
Gwangju,2002,2002-06-02,2002-06-22,22.6
Halmstad,1958,1958-06-08,1958-06-11,12.6
Hamburg,1974,1974-06-14,1974-06-22,16.3
Hamburg,2006,2006-06-10,2006-06-30,18.6
Hanover,1974,1974-06-15,1974-06-30,16.4
Hanover,2006,2006-06-12,2006-06-27,19.2
Helsingborg,1958,1958-06-11,1958-06-15,11.7
Ibaraki,2002,2002-06-02,2002-06-08,23.1
Incheon,2002,2002-06-09,2002-06-14,19.0
Irapuato,1986,1986-06-02,1986-06-09,20.2
Jeonju,2002,2002-06-07,2002-06-17,21.2
Johannesburg,2010,2010-06-11,2010-07-11,8.1
Kaiserslautern,2006,2006-06-12,2006-06-26,20.9
Kaliningrad,2018,2018-06-16,2018-06-28,17.2
Kazan,2018,2018-06-16,2018-07-06,22.3
Kobe,2002,2002-06-05,2002-06-17,23.5
Lausanne,1954,1954-06-16,1954-06-30,17.1
Le Havre,1938,1938-06-05,1938-06-05,19.7
