Team_A,Team_B,Probability,Elo_A,Elo_B,Elo_Diff,Warm_A,Warm_B,Koppen_A,Koppen_B,Climate_Zone_A,Climate_Zone_B,Is_Climate_Clash,Warm_Team,Cool_Team,Climate_Score_A,Climate_Score_B,Venue_Temp_C,Climate_Diff_Score,p_adjustment,Climate_Flag_Tier
Algeria,Austria,0.0032,1885.0,1929.0,-44.0,1,0,BWh,Dfb,Arid,Continental,1,Algeria,Austria,0.9,0.2,22.0,0.3025,0.0097,Tier 3 (Weak)
Algeria,Belgium,0.0444,1885.0,2002.0,-117.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,Belgium,0.9,0.5,21.3,0.1417,0.0045,Tier 2 (Moderate)
Algeria,Bosnia and Herzegovina,0.0017,1885.0,1653.0,232.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,Bosnia and Herzegovina,0.9,0.5,15.2,0.0,0.0,Tier 3 (Weak)
Algeria,Canada,0.0174,1885.0,1903.0,-18.0,1,0,BWh,Dfc,Arid,Continental,1,Algeria,Canada,0.9,0.2,20.8,0.3294,0.0105,Tier 3 (Weak)
Algeria,Croatia,0.0239,1885.0,1979.0,-94.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,Croatia,0.9,0.5,24.6,0.2567,0.0082,Tier 3 (Weak)
Algeria,Czech Republic,0.0038,1885.0,1837.0,48.0,1,0,BWh,Dfb,Arid,Continental,1,Algeria,Czech Republic,0.9,0.2,20.8,0.1781,0.0057,Tier 3 (Weak)
Algeria,England,0.0458,1885.0,2083.0,-198.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,England,0.9,0.5,24.9,0.309,0.0099,Tier 2 (Moderate)
Algeria,France,0.0103,1885.0,2160.0,-275.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,France,0.9,0.5,25.4,0.3152,0.0101,Tier 3 (Weak)
Algeria,Germany,0.0057,1885.0,2032.0,-147.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,Germany,0.9,0.5,25.9,0.314,0.01,Tier 3 (Weak)
Algeria,Netherlands,0.0054,1885.0,2006.0,-121.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,Netherlands,0.9,0.5,23.1,0.2184,0.007,Tier 3 (Weak)
Algeria,New Zealand,0.0089,1885.0,1710.0,175.0,1,0,BWh,Cfb,Arid,Temperate,1,Algeria,New Zealand,0.9,0.5,20.6,0.0907,0.0029,Tier 3 (Weak)
Algeria,Norway,0.0042,1885.0,1994.0,-109.0,1,0,BWh,Dfc,Arid,Continental,1,Algeria,Norway,0.9,0.2,25.9,0.5495,0.0176,Tier 3 (Weak)
