Team,A1_Win_Prob,A2_Win_Prob,Delta_pp,Z_stat,P_value,Significant
Brazil,5.26,5.89,0.63,6.14,0.0,True
Ecuador,3.82,4.4,0.58,6.53,0.0,True
Colombia,4.96,5.35,0.39,3.94,8e-05,True
Japan,2.38,2.57,0.19,2.73,0.006245,True
Uruguay,1.98,2.11,0.13,2.05,0.039988,True
Portugal,3.43,3.55,0.12,1.46,0.143721,False
Mexico,1.62,1.72,0.1,1.74,0.080991,False
Senegal,1.05,1.14,0.09,1.93,0.053136,False
Algeria,0.48,0.55,0.07,2.19,0.028758,True
Ivory Coast,0.58,0.65,0.07,2.0,0.045272,True
Iran,0.51,0.56,0.05,1.53,0.12536,False
Morocco,1.75,1.8,0.05,0.85,0.397145,False
Australia,0.58,0.62,0.04,1.16,0.246789,False
Egypt,0.22,0.26,0.04,1.83,0.067557,False
Jordan,0.17,0.21,0.04,2.05,0.039982,True
Panama,0.31,0.35,0.04,1.56,0.118859,False
New Zealand,0.08,0.1,0.02,1.49,0.135859,False
Haiti,0.02,0.03,0.01,1.41,0.157245,False
Iraq,0.09,0.1,0.01,0.73,0.467948,False
South Africa,0.04,0.05,0.01,1.05,0.291731,False
Tunisia,0.25,0.26,0.01,0.44,0.657496,False
Uzbekistan,0.13,0.14,0.01,0.61,0.542529,False
Bosnia and Herzegovina,0.04,0.04,0.0,0.0,1.0,False
Cape Verde,0.03,0.03,0.0,0.0,1.0,False
Curaçao,0.02,0.02,0.0,0.0,1.0,False
DR Congo,0.08,0.08,0.0,0.0,1.0,False
Ghana,0.02,0.02,0.0,0.0,1.0,False
Saudi Arabia,0.06,0.06,0.0,0.0,1.0,False
Turkey,2.38,2.38,0.0,0.0,1.0,False
Croatia,1.18,1.17,-0.01,-0.21,0.835614,False
Qatar,0.02,0.01,-0.01,-1.83,0.067866,False
Scotland,0.53,0.51,-0.02,-0.62,0.534078,False
Paraguay,0.95,0.92,-0.03,-0.7,0.485795,False
Czech Republic,0.43,0.39,-0.04,-1.4,0.161591,False
United States,0.43,0.39,-0.04,-1.4,0.161591,False
Sweden,0.22,0.17,-0.05,-2.53,0.011265,True
Argentina,13.92,13.86,-0.06,-0.39,0.698064,False
Austria,0.75,0.68,-0.07,-1.86,0.063202,False
South Korea,0.71,0.61,-0.1,-2.76,0.005752,True
Netherlands,2.78,2.67,-0.11,-1.51,0.130849,False
Belgium,2.46,2.34,-0.12,-1.75,0.079562,False
Spain,17.16,17.04,-0.12,-0.71,0.476047,False
Switzerland,2.22,2.1,-0.12,-1.85,0.064921,False
Canada,1.03,0.83,-0.2,-4.66,3e-06,True
England,5.04,4.81,-0.23,-2.38,0.017466,True
Germany,3.78,3.5,-0.28,-3.34,0.000828,True
Norway,2.69,2.18,-0.51,-7.4,0.0,True
France,11.35,10.79,-0.56,-3.99,6.6e-05,True
