Team,Group,Group_Prob,R32,R32_Prob,R16,R16_Prob,QF,QF_Prob,SF,SF_Prob,Final,Final_Prob,Winner,Winner_Prob
Spain,100000,1.0,101099,1.011,71359,0.7136,51602,0.516,37781,0.3778,25997,0.26,17157,0.1716
Argentina,100000,1.0,102205,1.022,67339,0.6734,49378,0.4938,33932,0.3393,22377,0.2238,13916,0.1392
France,100000,1.0,106748,1.0675,75062,0.7506,48944,0.4894,32698,0.327,19167,0.1917,11348,0.1135
Brazil,100000,1.0,96704,0.967,59980,0.5998,35043,0.3504,20163,0.2016,10269,0.1027,5264,0.0526
England,100000,1.0,89612,0.8961,55763,0.5576,33140,0.3314,18777,0.1878,9648,0.0965,5039,0.0504
Colombia,100000,1.0,88115,0.8811,56009,0.5601,32474,0.3247,17427,0.1743,9741,0.0974,4956,0.0496
Ecuador,100000,1.0,110585,1.1058,63501,0.635,32564,0.3256,17496,0.175,8242,0.0824,3823,0.0382
Germany,100000,1.0,112302,1.123,63403,0.634,32168,0.3217,17189,0.1719,8161,0.0816,3779,0.0378
Portugal,100000,1.0,83730,0.8373,50014,0.5001,26130,0.2613,13590,0.1359,7211,0.0721,3433,0.0343
Netherlands,100000,1.0,99247,0.9925,51993,0.5199,28846,0.2885,13850,0.1385,6321,0.0632,2780,0.0278
Norway,100000,1.0,99304,0.993,54074,0.5407,27546,0.2755,13762,0.1376,6112,0.0611,2691,0.0269
Belgium,100000,1.0,89008,0.8901,51170,0.5117,26239,0.2624,11491,0.1149,5551,0.0555,2460,0.0246
Japan,100000,1.0,90059,0.9006,46357,0.4636,24896,0.249,12224,0.1222,5513,0.0551,2383,0.0238
Turkey,100000,1.0,89083,0.8908,50581,0.5058,25164,0.2516,11283,0.1128,5383,0.0538,2380,0.0238
Switzerland,100000,1.0,92656,0.9266,53092,0.5309,25899,0.259,11225,0.1123,5195,0.052,2225,0.0222
Uruguay,100000,1.0,89442,0.8944,39184,0.3918,20737,0.2074,10477,0.1048,4961,0.0496,1979,0.0198
Morocco,100000,1.0,71814,0.7181,37251,0.3725,19547,0.1955,9454,0.0945,4129,0.0413,1752,0.0175
Mexico,100000,1.0,87386,0.8739,47334,0.4733,22548,0.2255,9856,0.0986,4076,0.0408,1623,0.0162
Croatia,100000,1.0,57726,0.5773,28695,0.2869,12919,0.1292,6261,0.0626,2834,0.0283,1185,0.0118
Senegal,100000,1.0,73158,0.7316,34894,0.3489,16382,0.1638,6880,0.0688,2781,0.0278,1047,0.0105
Canada,100000,1.0,85394,0.8539,43506,0.4351,18842,0.1884,7112,0.0711,2790,0.0279,1026,0.0103
Paraguay,100000,1.0,62869,0.6287,31430,0.3143,13286,0.1329,5612,0.0561,2403,0.024,954,0.0095
Austria,100000,1.0,62819,0.6282,24233,0.2423,11560,0.1156,4878,0.0488,2048,0.0205,749,0.0075
South Korea,100000,1.0,63583,0.6358,31431,0.3143,13654,0.1365,5392,0.0539,1975,0.0198,709,0.0071
Australia,100000,1.0,56173,0.5617,26189,0.2619,10394,0.1039,4031,0.0403,1565,0.0157,576,0.0058
Ivory Coast,100000,1.0,88307,0.8831,35455,0.3545,14535,0.1454,5062,0.0506,1774,0.0177,582,0.0058
Scotland,100000,1.0,72753,0.7275,30680,0.3068,13089,0.1309,4946,0.0495,1615,0.0162,530,0.0053
Iran,100000,1.0,57074,0.5707,27000,0.27,10275,0.1027,3955,0.0396,1538,0.0154,514,0.0051
Algeria,100000,1.0,57135,0.5714,20166,0.2017,8972,0.0897,3497,0.035,1383,0.0138,483,0.0048
Czech Republic,100000,1.0,70088,0.7009,31886,0.3189,12454,0.1245,4276,0.0428,1380,0.0138,432,0.0043
United States,100000,1.0,67106,0.6711,29032,0.2903,10275,0.1027,3646,0.0365,1274,0.0127,427,0.0043
Panama,100000,1.0,56400,0.564,22086,0.2209,7890,0.0789,2849,0.0285,990,0.0099,308,0.0031
Tunisia,100000,1.0,72875,0.7288,25615,0.2561,9455,0.0945,3089,0.0309,882,0.0088,246,0.0025
Egypt,100000,1.0,47677,0.4768,19928,0.1993,6581,0.0658,2196,0.022,763,0.0076,220,0.0022
Sweden,100000,1.0,49426,0.4943,17777,0.1778,6475,0.0648,2238,0.0224,721,0.0072,223,0.0022
Jordan,100000,1.0,56624,0.5662,16313,0.1631,6109,0.0611,1981,0.0198,595,0.006,172,0.0017
Uzbekistan,100000,1.0,29843,0.2984,11906,0.1191,4109,0.0411,1477,0.0148,523,0.0052,133,0.0013
Iraq,100000,1.0,35318,0.3532,11972,0.1197,4286,0.0429,1237,0.0124,353,0.0035,86,0.0009
DR Congo,100000,1.0,20620,0.2062,7702,0.077,2362,0.0236,812,0.0081,263,0.0026,79,0.0008
New Zealand,100000,1.0,48156,0.4816,16873,0.1687,4611,0.0461,1278,0.0128,351,0.0035,78,0.0008
