Country,Koppen,Climate_Zone,Warm_Climate,Avg_Annual_Temp_C
Algeria,BWh,Arid,1,22.0
Angola,Aw,Tropical,1,23.0
Argentina,Cfa,Temperate,1,14.0
Australia,BWh,Arid,1,22.0
Austria,Dfb,Continental,0,7.0
Belgium,Cfb,Temperate,0,10.0
Bolivia, Aw,Tropical,1,18.0
Bosnia and Herzegovina,Cfb,Temperate,0,10.0
Brazil,Am,Tropical,1,25.0
Bulgaria,Cfb,Temperate,0,10.0
Cameroon,Am,Tropical,1,24.0
Canada,Dfc,Continental,0,-4.0
Chile,BSk,Arid,1,9.0
China,Cwa,Temperate,1,8.0
Colombia,Af,Tropical,1,24.0
Costa Rica,Am,Tropical,1,25.0
Croatia,Cfb,Temperate,0,11.0
Cuba,Am,Tropical,1,25.0
Czech Republic,Dfb,Continental,0,8.0
Denmark,Cfb,Temperate,0,8.0
Ecuador,Af,Tropical,1,21.0
Egypt,BWh,Arid,1,23.0
El Salvador,Aw,Tropical,1,25.0
England,Cfb,Temperate,0,10.0
France,Cfb,Temperate,0,11.5
Germany,Cfb,Temperate,0,9.0
Ghana,Aw,Tropical,1,27.0
Greece,Csa,Temperate,1,16.0
Haiti,Aw,Tropical,1,25.0
Honduras,Am,Tropical,1,24.0
Hungary,Cfb,Temperate,0,10.0
Iceland,Cfc,Temperate,0,2.0
Iran,BWh,Arid,1,18.0
Iraq,BWh,Arid,1,22.0
Israel,Csa,Temperate,1,20.0
Italy,Csa,Temperate,1,14.0
Ivory Coast,Aw,Tropical,1,26.0
Jamaica,Aw,Tropical,1,26.0
Japan,Cfa,Temperate,1,12.0
Kuwait,BWh,Arid,1,26.0
Mexico,BSh,Arid,1,21.0
Morocco,Csa,Temperate,1,17.0
Netherlands,Cfb,Temperate,0,10.0
New Zealand,Cfb,Temperate,0,11.0
Nigeria,Aw,Tropical,1,27.0
North Korea,Dwa,Continental,0,8.0
Northern Ireland,Cfb,Temperate,0,9.0
Norway,Dfc,Continental,0,2.0
Panama,Am,Tropical,1,26.0
Paraguay,Cfa,Temperate,1,23.0
Peru,BWh,Arid,1,20.0
Poland,Dfb,Continental,0,8.0
Portugal,Csa,Temperate,1,15.0
Qatar,BWh,Arid,1,27.0
Republic of Ireland,Cfb,Temperate,0,10.0
Romania,Dfb,Continental,0,9.0
Russia,Dfc,Continental,0,-2.0
Saudi Arabia,BWh,Arid,1,25.0
Scotland,Cfb,Temperate,0,7.0
Senegal,BSh,Arid,1,28.0
Serbia,Cfb,Temperate,0,10.0
Slovakia,Dfb,Continental,0,8.0
Slovenia,Cfb,Temperate,0,9.0
South Africa,BSh,Arid,1,17.0
South Korea,Dwa,Continental,0,11.0
Spain,Csa,Temperate,1,14.0
Sweden,Dfc,Continental,0,3.0
Switzerland,Cfb,Temperate,0,6.0
Togo,Aw,Tropical,1,27.0
Trinidad and Tobago,Am,Tropical,1,26.0
Tunisia,BWh,Arid,1,19.0
Turkey,Csa,Temperate,1,12.0
Ukraine,Dfb,Continental,0,8.0
United Arab Emirates,BWh,Arid,1,27.0
United States,Cfa,Temperate,1,10.0
Uruguay,Cfa,Temperate,1,16.0
Wales,Cfb,Temperate,0,9.0
Czechoslovakia,Dfb,Continental,0,8.0
Dutch East Indies,Af,Tropical,1,26.0
East Germany,Cfb,Temperate,0,9.0
Indonesia,Af,Tropical,1,26.0
DR Congo,Am,Tropical,1,24.0
Serbia and Montenegro,Cfb,Temperate,0,10.0
Soviet Union,Dfc,Continental,0,-2.0
West Germany,Cfb,Temperate,0,9.0
Yugoslavia,Cfb,Temperate,0,10.0
Zaire,Am,Tropical,1,24.0
Cape Verde,BWh,Arid,1,23.0
Curaçao,BSh,Arid,1,27.0
Jordan,BWh,Arid,1,19.0
Uzbekistan,BWk,Arid,1,13.0
